stage,epoch,train_weighted_numerator,train_weight_denominator,train_weighted_loss,train_sample_count,train_batch_count,train_optimizer_steps,dev_weighted_numerator,dev_weight_denominator,dev_weighted_loss,dev_sample_count,dev_batch_count,dev_bonafide_count,dev_attack_count,dev_auroc,raw_checkpoint_updated,raw_best_epoch,raw_best_loss,patience_anchor_initialized,meaningful_improvement,patience_anchor_loss,patience_counter,patience_epochs,stop_due_to_patience,stop_due_to_maximum_epochs,should_stop,transition_note
stage_a,1,1017.6058944612741,1440.0,0.7066707600425515,1440,45,45,310.38333919644356,459.0,0.6762164252645829,459,15,153,306,0.6214917339484813,true,1,0.6762164252645829,true,,0.6762164252645829,0,2,false,false,false,
stage_a,2,984.3519740849733,1440.0,0.6835777597812315,1440,45,45,305.38436540961266,459.0,0.6653254148357575,459,15,153,306,0.6874065530351574,true,2,0.6653254148357575,false,true,0.6653254148357575,0,2,false,false,false,
stage_a,3,947.2244699001312,1440.0,0.65779477076398,1440,45,45,298.66505351662636,459.0,0.6506863911037611,459,15,153,306,0.7216241616472296,true,3,0.6506863911037611,false,true,0.6506863911037611,0,2,false,false,false,
stage_a,4,934.5552357584238,1440.0,0.6489966914989054,1440,45,45,295.96288891136646,459.0,0.6447993222469858,459,15,153,306,0.7428553120594643,true,4,0.6447993222469858,false,true,0.6447993222469858,0,2,false,false,false,
stage_a,5,906.3561789691448,1440.0,0.6294140131730173,1440,45,45,287.4192825257778,459.0,0.6261858007097556,459,15,153,306,0.7623777179717203,true,5,0.6261858007097556,false,true,0.6261858007097556,0,2,false,false,false,
stage_a,6,908.5922763198614,1440.0,0.6309668585554593,1440,45,45,294.13690982759,459.0,0.640821154308475,459,15,153,306,0.7722884360715964,false,5,0.6261858007097556,false,false,0.6261858007097556,1,2,false,false,false,
stage_a,7,885.1046871989965,1440.0,0.6146560327770809,1440,45,45,284.02428245544434,459.0,0.6187892863953036,459,15,153,306,0.7809389551027383,true,7,0.6187892863953036,false,true,0.6187892863953036,0,2,false,false,false,
stage_a,8,873.591307900846,1440.0,0.6066606304866986,1440,45,45,279.9696117043495,459.0,0.6099555810552277,459,15,153,306,0.7914477337776069,true,8,0.6099555810552277,false,true,0.6099555810552277,0,2,false,false,false,
stage_a,9,862.0178798884153,1440.0,0.5986235277002885,1440,45,45,278.6046070829034,459.0,0.6069817147775672,459,15,153,306,0.7984749455337691,true,9,0.6069817147775672,false,false,0.6099555810552277,1,2,false,false,false,
stage_a,10,856.7469351813197,1440.0,0.594963149431472,1440,45,45,274.99959391355515,459.0,0.5991276555850875,459,15,153,306,0.8009739843649878,true,10,0.5991276555850875,false,true,0.5991276555850875,0,2,false,true,true,
