stage,epoch,train_weighted_numerator,train_weight_denominator,train_weighted_loss,train_sample_count,train_batch_count,train_optimizer_steps,dev_weighted_numerator,dev_weight_denominator,dev_weighted_loss,dev_sample_count,dev_batch_count,dev_bonafide_count,dev_attack_count,dev_auroc,raw_checkpoint_updated,raw_best_epoch,raw_best_loss,patience_anchor_initialized,meaningful_improvement,patience_anchor_loss,patience_counter,patience_epochs,stop_due_to_patience,stop_due_to_maximum_epochs,should_stop,transition_note
stage_a,1,1009.5445485860109,1440.0,0.7010726031847299,1440,45,45,314.2576902806759,459.0,0.6846572772999475,459,15,153,306,0.6606860609167414,true,1,0.6846572772999475,true,,0.6846572772999475,0,2,false,false,false,
stage_a,2,966.6286564916372,1440.0,0.6712699003414148,1440,45,45,302.86955347657204,459.0,0.6598465217354511,459,15,153,306,0.741360160621983,true,2,0.6598465217354511,false,true,0.6598465217354511,0,2,false,false,false,
stage_a,3,956.8060645610094,1440.0,0.6644486559451455,1440,45,45,303.96001318097115,459.0,0.6622222509389349,459,15,153,306,0.7716049382716049,false,2,0.6598465217354511,false,false,0.6598465217354511,1,2,false,false,false,
stage_a,4,930.4062457829714,1440.0,0.6461154484603968,1440,45,45,295.966288164258,459.0,0.6448067280267059,459,15,153,306,0.7948865820838139,true,4,0.6448067280267059,false,true,0.6448067280267059,0,2,false,false,false,
stage_a,5,918.7620207369328,1440.0,0.6380291810673144,1440,45,45,287.9843384921551,459.0,0.6274168594600329,459,15,153,306,0.8107351873211158,true,5,0.6274168594600329,false,true,0.6274168594600329,0,2,false,false,false,
stage_a,6,896.1978418081999,1440.0,0.6223596123668055,1440,45,45,299.0729995369911,459.0,0.6515751623899588,459,15,153,306,0.8190012388397625,false,5,0.6274168594600329,false,false,0.6274168594600329,1,2,false,false,false,
stage_a,7,907.188254982233,1440.0,0.6299918437376618,1440,45,45,285.8561296314001,459.0,0.6227802388483662,459,15,153,306,0.8288692383271391,true,7,0.6227802388483662,false,true,0.6227802388483662,0,2,false,false,false,
stage_a,8,871.5340243279934,1440.0,0.6052319613388843,1440,45,45,281.0665748119354,459.0,0.6123454788931055,459,15,153,306,0.8349139219958136,true,8,0.6123454788931055,false,true,0.6123454788931055,0,2,false,false,false,
stage_a,9,860.1898119598627,1440.0,0.597354036083238,1440,45,45,280.750016823411,459.0,0.6116558100727908,459,15,153,306,0.8459566833269255,true,9,0.6116558100727908,false,false,0.6123454788931055,1,2,false,false,false,
stage_a,10,858.0200668945909,1440.0,0.5958472686767992,1440,45,45,275.8249505162239,459.0,0.6009258181181348,459,15,153,306,0.8427527873894656,true,10,0.6009258181181348,false,true,0.6009258181181348,0,2,false,true,true,
