stage,epoch,train_weighted_numerator,train_weight_denominator,train_weighted_loss,train_sample_count,train_batch_count,train_optimizer_steps,dev_weighted_numerator,dev_weight_denominator,dev_weighted_loss,dev_sample_count,dev_batch_count,dev_bonafide_count,dev_attack_count,dev_auroc,raw_checkpoint_updated,raw_best_epoch,raw_best_loss,patience_anchor_initialized,meaningful_improvement,patience_anchor_loss,patience_counter,patience_epochs,stop_due_to_patience,stop_due_to_maximum_epochs,should_stop,transition_note
stage_b,1,807.2628805945806,1440.0,0.5605992226351254,1440,45,45,157.85877914934,459.0,0.3439189088220915,459,15,153,306,0.9492502883506344,true,1,0.3439189088220915,true,,0.3439189088220915,0,5,false,false,false,Backbone unfrozen and BatchNorm running statistics begin FantasyID domain adaptation; transient dev-loss movement is expected.
stage_b,2,222.38952800665658,1440.0,0.15443717222684483,1440,45,45,96.93708446497277,459.0,0.21119190515244612,459,15,153,306,0.9846853774189415,true,2,0.21119190515244612,false,true,0.21119190515244612,0,5,false,false,false,
stage_b,3,129.8325045494183,1440.0,0.0901614614926516,1440,45,45,66.15535416518875,459.0,0.1441293119067293,459,15,153,306,0.9901960784313726,true,3,0.1441293119067293,false,true,0.1441293119067293,0,5,false,false,false,
stage_b,4,62.41373905597084,1440.0,0.043342874344424194,1440,45,45,73.54140592773402,459.0,0.16022092794713294,459,15,153,306,0.9924388055875946,false,3,0.1441293119067293,false,false,0.1441293119067293,1,5,false,false,false,
stage_b,5,59.10149019061802,1440.0,0.04104270152126251,1440,45,45,38.5919363232458,459.0,0.08407829264323703,459,15,153,306,0.995599982912555,true,5,0.08407829264323703,false,true,0.08407829264323703,0,5,false,false,false,
stage_b,6,28.717692421188502,1440.0,0.019942841959158682,1440,45,45,52.080603733697174,459.0,0.11346536761154069,459,15,153,306,0.9953009526250587,false,5,0.08407829264323703,false,false,0.08407829264323703,1,5,false,false,false,
stage_b,7,59.50580309648255,1440.0,0.04132347437255733,1440,45,45,263.3445176391049,459.0,0.5737353325470694,459,15,153,306,0.9860523730189243,false,5,0.08407829264323703,false,false,0.08407829264323703,2,5,false,false,false,
stage_b,8,28.92711163204664,1440.0,0.020088271966699055,1440,45,45,52.77141161659303,459.0,0.11497039567885191,459,15,153,306,0.993998034943825,false,5,0.08407829264323703,false,false,0.08407829264323703,3,5,false,false,false,
stage_b,9,22.720608424695293,1440.0,0.015778200294927287,1440,45,45,70.7725039107323,459.0,0.15418846167915534,459,15,153,306,0.9920543380750994,false,5,0.08407829264323703,false,false,0.08407829264323703,4,5,false,false,false,
stage_b,10,14.437218898758147,1440.0,0.010025846457470936,1440,45,45,78.55779702359725,459.0,0.17114988458300054,459,15,153,306,0.9920970566875987,false,5,0.08407829264323703,false,false,0.08407829264323703,5,5,true,false,true,
