file_stem,pair_type,capture_count,hardware_count,layer4_1_cosine,avgpool_cosine,cosine_reconvergence,layer4_1_relative_l2,avgpool_relative_l2,relative_l2_reconvergence
arabic-003_03,digital_1_vs_bonafide,3,3,0.9374955892562866,0.9821106990178426,0.04461510976155599,0.3534557024637858,0.1914401799440384,0.1620155225197474
arabic-003_03,digital_1_vs_digital_2,3,3,0.9202015995979309,0.9761480093002319,0.055946409702301025,0.4009537200133006,0.22094800571600595,0.18000571429729462
arabic-003_03,digital_2_vs_bonafide,3,3,0.9621770977973938,0.9898629983266195,0.027685900529225666,0.27560117840766907,0.14229685068130493,0.13330432772636414
arabic-005_03,digital_1_vs_bonafide,3,3,0.9270243644714355,0.9818498690923055,0.05482550462086996,0.38627344369888306,0.19543381532033285,0.1908396283785502
arabic-005_03,digital_1_vs_digital_2,3,3,0.9479550123214722,0.9886578520139059,0.04070283969243368,0.32258010903994244,0.15124014765024185,0.17133996138970056
arabic-005_03,digital_2_vs_bonafide,3,3,0.9518998861312866,0.9867572784423828,0.03485739231109619,0.3086649477481842,0.162140483657519,0.1465244640906652
arabic-112_03,digital_1_vs_bonafide,3,3,0.9432598749796549,0.986324687798818,0.043064812819163,0.33994074662526447,0.17464011907577515,0.16530062754948935
arabic-112_03,digital_1_vs_digital_2,3,3,0.9590929945309957,0.9908095995585123,0.031716605027516685,0.2863262891769409,0.13744521886110306,0.14888107031583786
arabic-112_03,digital_2_vs_bonafide,3,3,0.9627108176549276,0.9895645578702291,0.026853740215301514,0.2743162661790848,0.14850965638955435,0.12580660978953043
arabic-131_03,digital_1_vs_bonafide,3,3,0.9148820837338766,0.977550208568573,0.06266812483469646,0.4216967026392619,0.2261497527360916,0.19554694990317026
arabic-131_03,digital_1_vs_digital_2,3,3,0.9360376596450806,0.9840512275695801,0.04801356792449951,0.36271148920059204,0.18175220489501953,0.1809592843055725
arabic-131_03,digital_2_vs_bonafide,3,3,0.939090371131897,0.9838415582974752,0.04475118716557821,0.34934113423029584,0.1854713261127472,0.16386980811754862
arabic-139_03,digital_1_vs_bonafide,3,3,0.9494007627169291,0.9884145855903625,0.03901382287343343,0.31920509537061054,0.15371371308962503,0.1654913822809855
arabic-139_03,digital_1_vs_digital_2,3,3,0.9399587909380595,0.9850542744000753,0.045095483462015785,0.3483553131421407,0.17312739789485931,0.1752279152472814
arabic-139_03,digital_2_vs_bonafide,3,3,0.9645626544952393,0.9908021092414856,0.026239454746246338,0.26651738584041595,0.13510012378295264,0.13141726205746332
arabic-173_03,digital_1_vs_bonafide,3,3,0.9263073603312174,0.9809666872024536,0.05465932687123617,0.38497493664423627,0.19825662672519684,0.1867183099190394
arabic-173_03,digital_1_vs_digital_2,3,3,0.9391169945398966,0.9858133395512899,0.04669634501139323,0.34904863437016803,0.16936996579170227,0.1796786685784658
arabic-173_03,digital_2_vs_bonafide,3,3,0.9602225621541342,0.9900315205256144,0.029808958371480305,0.27995870014031726,0.14089598009983698,0.1390627200404803
arabic-NF-1003,digital_1_vs_bonafide,3,3,0.9143786827723185,0.9744891126950582,0.06011042992273966,0.4126525620619456,0.22545966506004333,0.18719289700190225
arabic-NF-1003,digital_1_vs_digital_2,3,3,0.9327853123346964,0.9819566011428833,0.04917128880818685,0.3659947415192922,0.19107772409915924,0.17491701742013296
arabic-NF-1003,digital_2_vs_bonafide,3,3,0.9602492849032084,0.9891152779261271,0.0288659930229187,0.27457569539546967,0.14516452699899673,0.12941116839647293
arabic-NF-1012,digital_1_vs_bonafide,3,3,0.9184724887212118,0.979684849580129,0.061212360858917236,0.40550704797108966,0.20504367848237356,0.20046336948871613
arabic-NF-1012,digital_1_vs_digital_2,3,3,0.9186559120814005,0.9781218965848287,0.05946598450342814,0.4038248459498088,0.21026155352592468,0.19356329242388406
arabic-NF-1012,digital_2_vs_bonafide,3,3,0.9643064339955648,0.9909876982371012,0.026681264241536457,0.26536605258782703,0.13350906719764075,0.1318569853901863
arabic-NF-1030,digital_1_vs_bonafide,3,3,0.9522995352745056,0.9866913159688314,0.03439178069432577,0.3081086377302806,0.16266986727714539,0.14543877045313516
arabic-NF-1030,digital_1_vs_digital_2,3,3,0.9497004548708597,0.9856634537378947,0.03596299886703491,0.31808172663052875,0.1705500235160192,0.14753170311450958
arabic-NF-1030,digital_2_vs_bonafide,3,3,0.9739301999409994,0.9926708539326986,0.01874065399169922,0.21839969356854758,0.114544744292895,0.10385494927565257
arabic-NF-1037,digital_1_vs_bonafide,3,3,0.8911746939023336,0.9675542910893759,0.07637959718704224,0.46673669417699176,0.2548612058162689,0.21187548836072287
arabic-NF-1037,digital_1_vs_digital_2,3,3,0.9133009711901346,0.9752066930135092,0.06190572182337443,0.4161197741826375,0.22263564666112265,0.1934841275215149
arabic-NF-1037,digital_2_vs_bonafide,3,3,0.9147518475850424,0.9742873509724935,0.05953550338745117,0.4154285291830699,0.2280786782503128,0.18734985093275705
arabic-NF-1040,digital_1_vs_bonafide,3,3,0.9545451800028483,0.9874633153279623,0.03291813532511393,0.3013121883074443,0.1587390055259069,0.14257318278153738
arabic-NF-1040,digital_1_vs_digital_2,3,3,0.9371203978856405,0.9848023653030396,0.047681967417399086,0.3572925329208374,0.1786907563606898,0.1786017765601476
arabic-NF-1040,digital_2_vs_bonafide,3,3,0.9508414069811503,0.9890695611635844,0.03822815418243408,0.31165603299935657,0.1463802233338356,0.165275809665521
arabic-NF-1045,digital_1_vs_bonafide,3,3,0.8756558497746786,0.966331938902537,0.09067608912785848,0.5014876921971639,0.26537175973256427,0.2361159324645996
arabic-NF-1045,digital_1_vs_digital_2,3,3,0.9337778886159261,0.9853940010070801,0.05161611239115397,0.3612111806869507,0.1710072010755539,0.1902039796113968
arabic-NF-1045,digital_2_vs_bonafide,3,3,0.8779792984326681,0.9663249254226685,0.08834562699000041,0.4960889716943105,0.26235997180143994,0.23372899989287058
arabic-NF-1049,digital_1_vs_bonafide,3,3,0.9132348299026489,0.9746445814768473,0.0614097515741984,0.4166455666224162,0.22659412026405334,0.19005144635836282
arabic-NF-1049,digital_1_vs_digital_2,3,3,0.8811178604761759,0.963482121626536,0.08236426115036011,0.4888223608334859,0.2719002564748128,0.2169221043586731
arabic-NF-1049,digital_2_vs_bonafide,3,3,0.9551698366800944,0.9887723724047343,0.03360253572463989,0.3005465666453044,0.1506424049536387,0.14990416169166565
arabic-NF-1053,digital_1_vs_bonafide,3,3,0.9593868454297384,0.9905773997306824,0.03119055430094401,0.28552812337875366,0.13786611457665762,0.14766200880209604
arabic-NF-1053,digital_1_vs_digital_2,3,3,0.9484159151713053,0.9876935482025146,0.03927763303120931,0.3204606771469116,0.15773667891820273,0.1627239982287089
arabic-NF-1053,digital_2_vs_bonafide,3,3,0.971436599890391,0.9922050436337789,0.02076844374338786,0.23866469164689383,0.12579700350761414,0.11286768813927968
arabic-NF-1100,digital_1_vs_bonafide,3,3,0.8956653674443563,0.9682622750600179,0.07259690761566162,0.46089471379915875,0.2582208216190338,0.2026738921801249
arabic-NF-1100,digital_1_vs_digital_2,3,3,0.8982901175816854,0.9729726711908976,0.07468255360921223,0.45226848125457764,0.23517330487569174,0.2170951763788859
arabic-NF-1100,digital_2_vs_bonafide,3,3,0.9013901948928833,0.9716971119244894,0.07030691703160603,0.4449954430262248,0.2388793627421061,0.20611608028411865
arabic-NM-1029,digital_1_vs_bonafide,3,3,0.8795090516408285,0.9688100417455038,0.08930099010467529,0.5085524519284567,0.26962652802467346,0.23892592390378317
arabic-NM-1029,digital_1_vs_digital_2,3,3,0.9042439460754395,0.9753167629241943,0.07107281684875488,0.44918827215830487,0.23433038592338562,0.21485788623491922
arabic-NM-1029,digital_2_vs_bonafide,3,3,0.9695044557253519,0.99233078956604,0.02282633384068807,0.24189947545528412,0.12367089092731476,0.11822858452796936
arabic-NM-1064,digital_1_vs_bonafide,3,3,0.8651860356330872,0.9620588223139445,0.09687278668085735,0.5232700010140737,0.2799786478281021,0.2432913531859716
