pair_id,file_stem,variant,hardware_source,altered_fields_unique,attack_image_path,bonafide_image_path,stage,shape,cosine_similarity,pearson_correlation,euclidean_distance,relative_l2_distance,mean_absolute_difference,max_absolute_difference,channel_diff_top1_share,channel_diff_top5_share,channel_diff_top10_share,channel_diff_top32_share,channel_diff_effective_channels,channel_diff_effective_fraction
arabic-003_03::digital_1::huawei,arabic-003_03,digital_1,huawei,dob|doe|face|name,train/attack/digital_1/huawei/arabic-003_03.jpg,train/bonafide/huawei/arabic-003_03.jpg,stem_relu,"(1, 64, 128, 205)",0.9861750602722168,0.9746778011322021,89.54634094238281,0.16628232598304749,0.010708440095186234,4.4473443031311035,0.03267497569322586,0.15838263928890228,0.30982479453086853,0.8044886589050293,42.875831604003906,0.669934868812561
arabic-003_03::digital_1::huawei,arabic-003_03,digital_1,huawei,dob|doe|face|name,train/attack/digital_1/huawei/arabic-003_03.jpg,train/bonafide/huawei/arabic-003_03.jpg,maxpool,"(1, 64, 64, 103)",0.9940980672836304,0.9875345826148987,45.85364532470703,0.10866063088178635,0.011867662891745567,3.3261425495147705,0.04007462039589882,0.1861681491136551,0.33811891078948975,0.8132541179656982,41.506309509277344,0.6485360860824585
arabic-003_03::digital_1::huawei,arabic-003_03,digital_1,huawei,dob|doe|face|name,train/attack/digital_1/huawei/arabic-003_03.jpg,train/bonafide/huawei/arabic-003_03.jpg,layer1.0,"(1, 64, 64, 103)",0.9908983707427979,0.9821937084197998,58.05647659301758,0.13492222130298615,0.02128109522163868,4.066771507263184,0.03586041182279587,0.15954504907131195,0.2794022262096405,0.6838178634643555,52.41759490966797,0.819024920463562
arabic-003_03::digital_1::huawei,arabic-003_03,digital_1,huawei,dob|doe|face|name,train/attack/digital_1/huawei/arabic-003_03.jpg,train/bonafide/huawei/arabic-003_03.jpg,layer1.1,"(1, 64, 64, 103)",0.9860347509384155,0.974636435508728,82.73162078857422,0.16712382435798645,0.03818855062127113,5.306158065795898,0.02935818023979664,0.1407439261674881,0.256978839635849,0.6521073579788208,55.83827209472656,0.8724730014801025
arabic-003_03::digital_1::huawei,arabic-003_03,digital_1,huawei,dob|doe|face|name,train/attack/digital_1/huawei/arabic-003_03.jpg,train/bonafide/huawei/arabic-003_03.jpg,layer2.0,"(1, 128, 32, 52)",0.9831498265266418,0.9762447476387024,28.642417907714844,0.1835830807685852,0.018814116716384888,2.4309120178222656,0.020635047927498817,0.07977516204118729,0.14711080491542816,0.38698315620422363,109.19137573242188,0.8530576229095459
arabic-003_03::digital_1::huawei,arabic-003_03,digital_1,huawei,dob|doe|face|name,train/attack/digital_1/huawei/arabic-003_03.jpg,train/bonafide/huawei/arabic-003_03.jpg,layer2.1,"(1, 128, 32, 52)",0.9798144698143005,0.9723911881446838,30.688913345336914,0.2009253352880478,0.020881235599517822,2.3380775451660156,0.015141492709517479,0.07137243449687958,0.13319283723831177,0.35742467641830444,115.3788070678711,0.9013969302177429
arabic-003_03::digital_1::huawei,arabic-003_03,digital_1,huawei,dob|doe|face|name,train/attack/digital_1/huawei/arabic-003_03.jpg,train/bonafide/huawei/arabic-003_03.jpg,layer3.0,"(1, 256, 16, 26)",0.9823318719863892,0.9755262136459351,13.808871269226074,0.18804068863391876,0.013556020334362984,1.3280198574066162,0.00943320244550705,0.04426587373018265,0.08272159099578857,0.22597600519657135,212.37062072753906,0.8295727372169495
arabic-003_03::digital_1::huawei,arabic-003_03,digital_1,huawei,dob|doe|face|name,train/attack/digital_1/huawei/arabic-003_03.jpg,train/bonafide/huawei/arabic-003_03.jpg,layer3.1,"(1, 256, 16, 26)",0.9837306141853333,0.9779220819473267,13.401177406311035,0.18056060373783112,0.013773434795439243,1.1379334926605225,0.009249486960470676,0.04392634704709053,0.0829269215464592,0.2329428791999817,208.23336791992188,0.8134115934371948
arabic-003_03::digital_1::huawei,arabic-003_03,digital_1,huawei,dob|doe|face|name,train/attack/digital_1/huawei/arabic-003_03.jpg,train/bonafide/huawei/arabic-003_03.jpg,layer4.0,"(1, 512, 8, 13)",0.9708608984947205,0.9671931266784668,9.39527416229248,0.2415183186531067,0.010222417302429676,1.4177075624465942,0.009379677474498749,0.0412677563726902,0.07263224571943283,0.19221259653568268,299.2376403808594,0.584448516368866
arabic-003_03::digital_1::huawei,arabic-003_03,digital_1,huawei,dob|doe|face|name,train/attack/digital_1/huawei/arabic-003_03.jpg,train/bonafide/huawei/arabic-003_03.jpg,layer4.1,"(1, 512, 8, 13)",0.9478517770767212,0.9319398403167725,87.03915405273438,0.3236575722694397,0.14413172006607056,7.339354515075684,0.009860502555966377,0.03821375221014023,0.06724191457033157,0.1681501865386963,351.7270812988281,0.6869669556617737
arabic-003_03::digital_1::huawei,arabic-003_03,digital_1,huawei,dob|doe|face|name,train/attack/digital_1/huawei/arabic-003_03.jpg,train/bonafide/huawei/arabic-003_03.jpg,avgpool,"(1, 512, 1, 1)",0.9860400557518005,0.9715059399604797,3.0091309547424316,0.16855256259441376,0.0940798670053482,0.6980042457580566,0.014490768313407898,0.055590033531188965,0.09437303245067596,0.2281595766544342,256.2425231933594,0.50047367811203
arabic-003_03::digital_2::huawei,arabic-003_03,digital_2,huawei,dob|doe|face|name,train/attack/digital_2/huawei/arabic-003_03.jpg,train/bonafide/huawei/arabic-003_03.jpg,stem_relu,"(1, 64, 128, 205)",0.9863436222076416,0.9749792218208313,88.9752426147461,0.16526517271995544,0.009542268700897694,4.189880847930908,0.034617356956005096,0.1623293161392212,0.30863669514656067,0.8015270233154297,43.13029098510742,0.6739107966423035
