analysis_unit,group_type,group_value,stage,metric,n,mean,std,min,q25,median,q75,max
capture_pair,overall,ALL,stem_relu,cosine_similarity,960,0.9893915940696995,0.0030631150198186454,0.9776950478553772,0.9872038513422012,0.9896546304225922,0.9918699711561203,0.9960566163063049
capture_pair,overall,ALL,stem_relu,pearson_correlation,960,0.9800202888126175,0.005661426670307959,0.9597412943840027,0.9758787006139755,0.9802896678447723,0.9845362454652786,0.9928661584854126
capture_pair,overall,ALL,stem_relu,relative_l2_distance,960,0.14412522662896662,0.021138635229761917,0.08880672603845596,0.12751642614603043,0.14384407550096512,0.15998389944434166,0.21121200919151306
capture_pair,overall,ALL,stem_relu,mean_absolute_difference,960,0.009196271222511617,0.002001390105441728,0.005145523231476545,0.007775403209961951,0.008912294637411833,0.010237915441393852,0.018250225111842155
capture_pair,overall,ALL,stem_relu,channel_diff_top1_share,960,0.03502191429724917,0.0024869016346541995,0.028859125450253487,0.033319504000246525,0.03475079871714115,0.03657845128327608,0.04468390718102455
capture_pair,overall,ALL,stem_relu,channel_diff_top5_share,960,0.1628357607095192,0.008429469748205902,0.14050400257110596,0.1571485958993435,0.16269078850746155,0.16854671016335487,0.19057755172252655
capture_pair,overall,ALL,stem_relu,channel_diff_top10_share,960,0.30902286088094116,0.013040095304732739,0.27342110872268677,0.300059013068676,0.3092362731695175,0.31844886392354965,0.3435667157173157
capture_pair,overall,ALL,stem_relu,channel_diff_top32_share,960,0.8068236254155636,0.01143260622388838,0.7720219492912292,0.7992400079965591,0.8070632815361023,0.8147571980953217,0.8437246084213257
capture_pair,overall,ALL,stem_relu,channel_diff_effective_channels,960,42.75317836602529,0.9975145144937461,39.411006927490234,42.08543109893799,42.757883071899414,43.43252754211426,45.479103088378906
capture_pair,overall,ALL,stem_relu,channel_diff_effective_fraction,960,0.6680184119691451,0.015586164288964782,0.6157969832420349,0.6575848609209061,0.6680919229984283,0.6786332428455353,0.7106109857559204
capture_pair,overall,ALL,maxpool,cosine_similarity,960,0.994657467181484,0.0015482479345352623,0.9858881235122681,0.9935798197984695,0.9946448504924774,0.99587582051754,0.9977369904518127
capture_pair,overall,ALL,maxpool,pearson_correlation,960,0.9887200988829136,0.0033582940661709528,0.9702060222625732,0.9863756895065308,0.9887160658836365,0.9913720041513443,0.9950982928276062
capture_pair,overall,ALL,maxpool,relative_l2_distance,960,0.10232402738183737,0.014981545205615288,0.06728056073188782,0.09084015153348446,0.1035071536898613,0.11334187164902687,0.16835187375545502
capture_pair,overall,ALL,maxpool,mean_absolute_difference,960,0.01012996667996049,0.0022803502118242504,0.005743843968957663,0.008543470175936818,0.009735628496855497,0.011229108087718487,0.019783835858106613
capture_pair,overall,ALL,maxpool,channel_diff_top1_share,960,0.0404489785413413,0.0036246610146242267,0.03050181455910206,0.03793986141681671,0.040268674492836,0.042515989392995834,0.05714757740497589
capture_pair,overall,ALL,maxpool,channel_diff_top5_share,960,0.1753692212048918,0.00922928690920575,0.14973922073841095,0.16944875940680504,0.1750667616724968,0.18176263198256493,0.20945623517036438
capture_pair,overall,ALL,maxpool,channel_diff_top10_share,960,0.3238550675101578,0.013510201803981752,0.28638213872909546,0.3152676597237587,0.32480891048908234,0.3329373598098755,0.3673810362815857
capture_pair,overall,ALL,maxpool,channel_diff_top32_share,960,0.8116840957974394,0.012167812323692951,0.7656124234199524,0.8038163334131241,0.8127621114253998,0.8211821466684341,0.8467333316802979
capture_pair,overall,ALL,maxpool,channel_diff_effective_channels,960,42.22145388523737,1.1457688333823275,38.04296875,41.410881996154785,42.18298149108887,42.9578275680542,45.74179458618164
capture_pair,overall,ALL,maxpool,channel_diff_effective_fraction,960,0.659710216956834,0.017902638021598867,0.59442138671875,0.6470450311899185,0.6591090857982635,0.6712160557508469,0.7147155404090881
capture_pair,overall,ALL,layer1.0,cosine_similarity,960,0.9919855603327353,0.002109624951148125,0.9833410978317261,0.9906090348958969,0.9921537339687347,0.9935659915208817,0.9969519972801208
capture_pair,overall,ALL,layer1.0,pearson_correlation,960,0.9836987190569441,0.00425339395075003,0.9662554264068604,0.9809805452823639,0.9839679896831512,0.9869060069322586,0.993624746799469
capture_pair,overall,ALL,layer1.0,relative_l2_distance,960,0.12552540469138573,0.016606721712090287,0.07807876169681549,0.11345427297055721,0.12527535110712051,0.13706975802779198,0.18266066908836365
capture_pair,overall,ALL,layer1.0,mean_absolute_difference,960,0.019723220966989176,0.003763830437392577,0.01173180527985096,0.017048959154635668,0.019171150401234627,0.021497271955013275,0.03788088262081146
capture_pair,overall,ALL,layer1.0,channel_diff_top1_share,960,0.03579164525920835,0.0012856143323221303,0.030976133421063423,0.03495598863810301,0.03582037054002285,0.03663633298128843,0.04074426367878914
capture_pair,overall,ALL,layer1.0,channel_diff_top5_share,960,0.15788405941178402,0.004153323189141204,0.1424521952867508,0.15510853379964828,0.15791510790586472,0.16077345982193947,0.1716374158859253
capture_pair,overall,ALL,layer1.0,channel_diff_top10_share,960,0.2775835076967875,0.007609771255517759,0.2543470859527588,0.2723933085799217,0.2773018479347229,0.28247570246458054,0.30575403571128845
capture_pair,overall,ALL,layer1.0,channel_diff_top32_share,960,0.676728655025363,0.012925052739439884,0.6459323167800903,0.668182983994484,0.6765828430652618,0.6841049492359161,0.7244543433189392
capture_pair,overall,ALL,layer1.0,channel_diff_effective_channels,960,52.70255921681722,1.0087699420658587,48.761844635009766,52.14079284667969,52.72343826293945,53.411702156066895,55.55118179321289
capture_pair,overall,ALL,layer1.0,channel_diff_effective_fraction,960,0.8234774877627691,0.015762030344779042,0.7619038224220276,0.8146998882293701,0.823803722858429,0.8345578461885452,0.8679872155189514
capture_pair,overall,ALL,layer1.1,cosine_similarity,960,0.9870936333512267,0.0032906547127399648,0.9693936109542847,0.985253781080246,0.9874070882797241,0.9894406199455261,0.9951176643371582
capture_pair,overall,ALL,layer1.1,pearson_correlation,960,0.9754638092592358,0.00624340045379549,0.9411753416061401,0.9718112051486969,0.9759446382522583,0.9799540936946869,0.9909361600875854
capture_pair,overall,ALL,layer1.1,relative_l2_distance,960,0.15940164356337239,0.020182454679803705,0.09881677478551865,0.1453373022377491,0.15871786326169968,0.17173371091485023,0.2474427968263626
capture_pair,overall,ALL,layer1.1,mean_absolute_difference,960,0.03689512522541918,0.006398923764759239,0.022228742018342018,0.03254878893494606,0.03586363606154919,0.04006369411945343,0.06988503038883209
capture_pair,overall,ALL,layer1.1,channel_diff_top1_share,960,0.031141651747748255,0.0015002516565725862,0.027951842173933983,0.03009016253054142,0.0309581458568573,0.03195374459028244,0.03874779865145683
capture_pair,overall,ALL,layer1.1,channel_diff_top5_share,960,0.14307821742258967,0.0034289521672935383,0.13335920870304108,0.14069869741797447,0.1430269256234169,0.14549116790294647,0.1543537974357605
capture_pair,overall,ALL,layer1.1,channel_diff_top10_share,960,0.2619315823695312,0.005440498633747095,0.24596397578716278,0.2581521347165108,0.2622915208339691,0.26571372151374817,0.27985644340515137
capture_pair,overall,ALL,layer1.1,channel_diff_top32_share,960,0.6561234949777524,0.00857918646458498,0.632965087890625,0.6502256691455841,0.6565084159374237,0.6627296805381775,0.6758912801742554
capture_pair,overall,ALL,layer1.1,channel_diff_effective_channels,960,55.29860180219014,0.6878611101214321,53.17952346801758,54.77939796447754,55.26678466796875,55.79025936126709,57.17300796508789
