file_stem,variant,altered_fields_unique,capture_pair_count,hardware_count,layer4_1_cosine,avgpool_cosine,cosine_reconvergence,layer4_1_relative_l2,avgpool_relative_l2,relative_l2_reconvergence,top_k_feature_overlap,top1_same_numeric
arabic-003_03,digital_1,dob|doe|face|name,3,3,0.9374955892562866,0.9821106990178426,0.04461510976155599,0.3534557024637858,0.1914401799440384,0.1620155225197474,0.8229166666666666,1.0
arabic-003_03,digital_2,dob|doe|face|name,3,3,0.9621770977973938,0.9898629983266195,0.027685900529225666,0.27560117840766907,0.14229685068130493,0.13330432772636414,0.8854166666666666,1.0
arabic-005_03,digital_1,dob|doe|face|name,3,3,0.9270243644714355,0.9818498690923055,0.05482550462086996,0.38627344369888306,0.19543381532033285,0.1908396283785502,0.7916666666666666,1.0
arabic-005_03,digital_2,dob|doe|face|name,3,3,0.9518998861312866,0.9867572784423828,0.03485739231109619,0.3086649477481842,0.162140483657519,0.1465244640906652,0.875,1.0
arabic-112_03,digital_1,dob|doe|face|name,3,3,0.9432598749796549,0.986324687798818,0.043064812819163,0.33994074662526447,0.17464011907577515,0.16530062754948935,0.8229166666666666,0.6666666666666666
arabic-112_03,digital_2,dob|doe|face|name,3,3,0.9627108176549276,0.9895645578702291,0.026853740215301514,0.2743162661790848,0.14850965638955435,0.12580660978953043,0.84375,0.6666666666666666
arabic-131_03,digital_1,dob|doe|face|name,3,3,0.9148820837338766,0.977550208568573,0.06266812483469646,0.4216967026392619,0.2261497527360916,0.19554694990317026,0.7916666666666666,0.6666666666666666
arabic-131_03,digital_2,dob|doe|face|name,3,3,0.939090371131897,0.9838415582974752,0.04475118716557821,0.34934113423029584,0.1854713261127472,0.16386980811754862,0.8125,0.3333333333333333
arabic-139_03,digital_1,dob|doe|face|name,3,3,0.9494007627169291,0.9884145855903625,0.03901382287343343,0.31920509537061054,0.15371371308962503,0.1654913822809855,0.8854166666666666,0.6666666666666666
arabic-139_03,digital_2,dob|doe|face|name,3,3,0.9645626544952393,0.9908021092414856,0.026239454746246338,0.26651738584041595,0.13510012378295264,0.13141726205746332,0.8333333333333334,0.6666666666666666
arabic-173_03,digital_1,dob|doe|face|name,3,3,0.9263073603312174,0.9809666872024536,0.05465932687123617,0.38497493664423627,0.19825662672519684,0.1867183099190394,0.8541666666666666,1.0
arabic-173_03,digital_2,dob|doe|face|name,3,3,0.9602225621541342,0.9900315205256144,0.029808958371480305,0.27995870014031726,0.14089598009983698,0.1390627200404803,0.875,1.0
arabic-NF-1003,digital_1,dob|doe|face|name,3,3,0.9143786827723185,0.9744891126950582,0.06011042992273966,0.4126525620619456,0.22545966506004333,0.18719289700190225,0.7604166666666666,0.6666666666666666
arabic-NF-1003,digital_2,dob|doe|face|name,3,3,0.9602492849032084,0.9891152779261271,0.0288659930229187,0.27457569539546967,0.14516452699899673,0.12941116839647293,0.875,0.3333333333333333
arabic-NF-1012,digital_1,dob|doe|face|name,3,3,0.9184724887212118,0.979684849580129,0.061212360858917236,0.40550704797108966,0.20504367848237356,0.20046336948871613,0.78125,0.6666666666666666
arabic-NF-1012,digital_2,dob|doe|face|name,3,3,0.9643064339955648,0.9909876982371012,0.026681264241536457,0.26536605258782703,0.13350906719764075,0.1318569853901863,0.84375,1.0
arabic-NF-1030,digital_1,dob|doe|face|name,3,3,0.9522995352745056,0.9866913159688314,0.03439178069432577,0.3081086377302806,0.16266986727714539,0.14543877045313516,0.8541666666666666,1.0
