analysis_unit,group_type,group_value,metric,n,mean,std,min,q25,median,q75,max
capture_pair,pair_type,digital_1_vs_bonafide,layer4_1_cosine,480,0.9632896470526854,0.024393540562509666,0.8493263721466064,0.9553700089454651,0.9711459279060364,0.9797648340463638,0.9928165078163147
capture_pair,pair_type,digital_1_vs_bonafide,avgpool_cosine,480,0.991500873118639,0.006964121290239179,0.9561877250671387,0.9894308000802994,0.9940607249736786,0.9958824813365936,0.9984908699989319
capture_pair,pair_type,digital_1_vs_bonafide,cosine_reconvergence,480,0.02821122606595357,0.017627802232564046,0.005568265914916992,0.015742599964141846,0.022778242826461792,0.03507976233959198,0.10686135292053223
capture_pair,pair_type,digital_1_vs_bonafide,layer4_1_relative_l2,480,0.26069297625993687,0.08125136608396327,0.1203370988368988,0.2013547532260418,0.2408480942249298,0.29960552603006363,0.5696657299995422
capture_pair,pair_type,digital_1_vs_bonafide,avgpool_relative_l2,480,0.12482523017873366,0.04680246672556709,0.05497579276561737,0.09250534139573574,0.11098523810505867,0.14697615802288055,0.3183640241622925
capture_pair,pair_type,digital_1_vs_bonafide,relative_l2_reconvergence,480,0.13586774608120322,0.0362480827426772,0.06341667845845222,0.10918479971587658,0.1295919045805931,0.15535273030400276,0.2679476886987686
capture_pair,pair_type,digital_1_vs_digital_2,layer4_1_cosine,480,0.9658810994277398,0.022054509405002375,0.8529942035675049,0.9569299668073654,0.9724005460739136,0.980617105960846,0.9956647157669067
capture_pair,pair_type,digital_1_vs_digital_2,avgpool_cosine,480,0.9923580763240655,0.006078861540987713,0.9533607959747314,0.9905223995447159,0.9942817389965057,0.9961549490690231,0.9993585348129272
capture_pair,pair_type,digital_1_vs_digital_2,cosine_reconvergence,480,0.026476976896325746,0.016149118896185886,0.003693819046020508,0.015529051423072815,0.021764278411865234,0.03396467864513397,0.10036659240722656
capture_pair,pair_type,digital_1_vs_digital_2,layer4_1_relative_l2,480,0.25129204226347307,0.07757463534037477,0.09318214654922485,0.1977529674768448,0.23571759462356567,0.2950388789176941,0.5476545691490173
capture_pair,pair_type,digital_1_vs_digital_2,avgpool_relative_l2,480,0.1183886027118812,0.043232804527296435,0.03581748530268669,0.08888099901378155,0.10822094231843948,0.13950668275356293,0.3098248541355133
capture_pair,pair_type,digital_1_vs_digital_2,relative_l2_reconvergence,480,0.13290343955159187,0.0358586219345718,0.05679306015372276,0.10801390558481216,0.12673234567046165,0.155429445207119,0.24445870518684387
capture_pair,pair_type,digital_2_vs_bonafide,layer4_1_cosine,480,0.9672648609926303,0.02454391320787973,0.8387590646743774,0.9583956301212311,0.975175678730011,0.9839534610509872,0.9949601292610168
capture_pair,pair_type,digital_2_vs_bonafide,avgpool_cosine,480,0.9923420948286851,0.006982837499761489,0.942990243434906,0.9904949218034744,0.9947018027305603,0.9968427121639252,0.9992684721946716
capture_pair,pair_type,digital_2_vs_bonafide,cosine_reconvergence,480,0.025077233836054803,0.01775938391979932,0.00412297248840332,0.012780323624610901,0.01970142126083374,0.032267168164253235,0.125687837600708
capture_pair,pair_type,digital_2_vs_bonafide,layer4_1_relative_l2,480,0.243469879993548,0.08449424002411998,0.10040256381034851,0.18017110601067543,0.22304270416498184,0.29034850746393204,0.568328857421875
capture_pair,pair_type,digital_2_vs_bonafide,avgpool_relative_l2,480,0.11691631061645845,0.04779455327720815,0.03827706351876259,0.08139225840568542,0.10483646765351295,0.1396908462047577,0.3436335325241089
capture_pair,pair_type,digital_2_vs_bonafide,relative_l2_reconvergence,480,0.12655356937708953,0.038236834946989144,0.05457385629415512,0.0969295036047697,0.11998686194419861,0.14857841096818447,0.301472932100296
capture_pair,hardware_source,huawei,layer4_1_cosine,160,0.9660993356257677,0.025074608989723284,0.8493263721466064,0.9600609987974167,0.9745753705501556,0.9821235686540604,0.9928165078163147
capture_pair,hardware_source,huawei,avgpool_cosine,160,0.9920648731291294,0.007319188573923931,0.9561877250671387,0.9913161396980286,0.9945616722106934,0.9964465498924255,0.9984908699989319
