file_stem,hardware_source,image_role,image_path,image_sha256,layer4_shape,shift_y,shift_x,layer4_original_vs_roll_cosine,layer4_original_vs_roll_relative_l2,avgpool_original_vs_roll_cosine,avgpool_original_vs_roll_relative_l2,model_avgpool_float32_max_abs_error,roll_avgpool_float32_max_abs_error,roll_avgpool_float64_max_abs_error
arabic-NF-1030,huawei,digital_1,train/attack/digital_1/huawei/arabic-NF-1030.jpg,fd082e255d958894c13f210b74c7f613360a876211805bf4d9d64c8fd72f918a,"(1, 512, 8, 13)",1,1,0.7464750409126282,0.7120743989944458,0.9999998807907104,5.923727286472058e-08,0.0,4.76837158203125e-07,0.0
arabic-NF-1030,huawei,digital_2,train/attack/digital_2/huawei/arabic-NF-1030.jpg,1f25c2793d6b9098da7261b3e5150f7f110a42adb6420c4133b09f7470ef7395,"(1, 512, 8, 13)",1,1,0.7382024526596069,0.7235984206199646,1.0,4.9294275328293224e-08,0.0,2.384185791015625e-07,0.0
arabic-NF-1030,iphone15pro,bonafide,train/bonafide/iphone15pro/arabic-NF-1030.jpg,29046ca04bd3065b08bcf8314eb8640adf6697c646dccd1e9fc3197230440c4c,"(1, 512, 8, 13)",1,1,0.746574878692627,0.7119340896606445,1.0,5.535843783377459e-08,0.0,4.76837158203125e-07,0.0
arabic-NF-1030,iphone15pro,digital_1,train/attack/digital_1/iphone15pro/arabic-NF-1030.jpg,eacb50cc67c3a47d1af08565218404628298103289565baf2991817e319b8bdd,"(1, 512, 8, 13)",1,1,0.7404371500015259,0.7205039262771606,1.0000001192092896,4.7376246925523446e-08,0.0,2.384185791015625e-07,0.0
arabic-NF-1030,iphone15pro,digital_2,train/attack/digital_2/iphone15pro/arabic-NF-1030.jpg,a8ce66941c58dc17d5cf10f75d2e0b9e8efe7a1ade43f81bde46382d97f0fc79,"(1, 512, 8, 13)",1,1,0.735541820526123,0.7272663116455078,1.0,5.418053916628196e-08,0.0,4.76837158203125e-07,0.0
arabic-NF-1030,scan,bonafide,train/bonafide/scan/arabic-NF-1030.jpg,68563d4417a80d88e3d1f00ae17375191df34a629cde22a8155b7a25813b0696,"(1, 512, 8, 13)",1,1,0.753055214881897,0.7027726173400879,0.9999998807907104,5.7530176178488546e-08,0.0,2.384185791015625e-07,0.0
arabic-NF-1030,scan,digital_1,train/attack/digital_1/scan/arabic-NF-1030.jpg,ff9f2fe62e2e8691542dd9ca260fe18f8fe51a58f2048d525b6024c5b5215bfb,"(1, 512, 8, 13)",1,1,0.751934289932251,0.7043657898902893,1.0,5.6331284525867886e-08,0.0,2.384185791015625e-07,0.0
arabic-NF-1030,scan,digital_2,train/attack/digital_2/scan/arabic-NF-1030.jpg,ce41d6671004930d1bf882a83be97fc90b571ab99791843bb9d6588e9657f2c5,"(1, 512, 8, 13)",1,1,0.7476310133934021,0.71044921875,1.000000238418579,5.987266149531933e-08,0.0,4.76837158203125e-07,0.0
arabic-NF-1037,huawei,bonafide,train/bonafide/huawei/arabic-NF-1037.jpg,5a818b980c38b1628dc5c0284f06b9d8c686f273ace2e3642c46652c580863a7,"(1, 512, 8, 13)",1,1,0.7395148873329163,0.7217826247215271,1.0,4.8633488347604725e-08,0.0,4.76837158203125e-07,0.0
arabic-NF-1037,huawei,digital_1,train/attack/digital_1/huawei/arabic-NF-1037.jpg,7186b485b27eeb441afa6109945f1c097076c2d411c85fa64650d72c4a9697ad,"(1, 512, 8, 13)",1,1,0.7388811111450195,0.7226601839065552,0.9999999403953552,5.39485789374794e-08,0.0,3.5762786865234375e-07,0.0
arabic-NF-1037,huawei,digital_2,train/attack/digital_2/huawei/arabic-NF-1037.jpg,f7aacdf787e243d4f4b4638216550cc18eb66ee36f0450a29c3607022066bc32,"(1, 512, 8, 13)",1,1,0.7340936064720154,0.7292550802230835,1.0,5.407643044463839e-08,0.0,4.76837158203125e-07,0.0
arabic-NF-1037,iphone15pro,bonafide,train/bonafide/iphone15pro/arabic-NF-1037.jpg,7ac00909cfc496f6feeebc22a2099c9039107b889e315cfa83fe398878f948fe,"(1, 512, 8, 14)",1,1,0.7618751525878906,0.6901084780693054,0.9999999403953552,3.559377503847827e-08,0.0,2.384185791015625e-07,0.0
arabic-NF-1037,iphone15pro,digital_1,train/attack/digital_1/iphone15pro/arabic-NF-1037.jpg,2b96474e55aa3a7ec499ec0b0fb8ac0db675f6ea42964e4d212181dcd3600125,"(1, 512, 8, 14)",1,1,0.7551056146621704,0.6998490691184998,1.0000001192092896,2.931893305913036e-08,0.0,1.1920928955078125e-07,0.0
arabic-NF-1037,iphone15pro,digital_2,train/attack/digital_2/iphone15pro/arabic-NF-1037.jpg,0d4dcf2944d6a744bb0a78d00ce50b4254ada40d45ebc2149fe8d9056e3b7e29,"(1, 512, 8, 14)",1,1,0.7568705081939697,0.69732266664505,0.9999998807907104,4.3466513943712926e-08,0.0,2.384185791015625e-07,0.0
