stage,epoch,train_weighted_numerator,train_weight_denominator,train_weighted_loss,train_sample_count,train_batch_count,train_optimizer_steps,dev_weighted_numerator,dev_weight_denominator,dev_weighted_loss,dev_sample_count,dev_batch_count,dev_bonafide_count,dev_attack_count,dev_auroc,raw_checkpoint_updated,raw_best_epoch,raw_best_loss,patience_anchor_initialized,meaningful_improvement,patience_anchor_loss,patience_counter,patience_epochs,stop_due_to_patience,stop_due_to_maximum_epochs,should_stop,transition_note
stage_a,1,1008.1314085572958,1440.0,0.7000912559425665,1440,45,45,315.13377091288567,459.0,0.6865659497012759,459,15,153,306,0.6338160536545773,true,1,0.6865659497012759,true,,0.6865659497012759,0,2,false,false,false,
stage_a,2,957.7140395343304,1440.0,0.6650791941210628,1440,45,45,310.5967799425125,459.0,0.6766814377832516,459,15,153,306,0.6966551326412919,true,2,0.6766814377832516,false,true,0.6766814377832516,0,2,false,false,false,
stage_a,3,941.5286274701357,1440.0,0.6538393246320386,1440,45,45,293.5532751083374,459.0,0.6395496189724127,459,15,153,306,0.7415310350719808,true,3,0.6395496189724127,false,true,0.6395496189724127,0,2,false,false,false,
stage_a,4,913.4270317107439,1440.0,0.6343243275769055,1440,45,45,290.2662567049265,459.0,0.6323883588342625,459,15,153,306,0.7716476568841044,true,4,0.6323883588342625,false,true,0.6323883588342625,0,2,false,false,false,
stage_a,5,895.1879430115223,1440.0,0.6216582937580016,1440,45,45,289.49662643671036,459.0,0.6307116044372775,459,15,153,306,0.788478790208894,true,5,0.6307116044372775,false,false,0.6323883588342625,1,2,false,false,false,
stage_a,6,872.4082026034594,1440.0,0.6058390295857357,1440,45,45,281.54679249227047,459.0,0.6133917047761884,459,15,153,306,0.7948652227775642,true,6,0.6133917047761884,false,true,0.6133917047761884,0,2,false,false,false,
stage_a,7,879.2614212110639,1440.0,0.6105982091743499,1440,45,45,281.57838156819344,459.0,0.6134605262923605,459,15,153,306,0.7987098979025161,false,6,0.6133917047761884,false,false,0.6133917047761884,1,2,false,false,false,
stage_a,8,864.5119509249926,1440.0,0.6003555214756893,1440,45,45,273.0659408122301,459.0,0.5949149037303488,459,15,153,306,0.8124652911273442,true,8,0.5949149037303488,false,true,0.5949149037303488,0,2,false,false,false,
stage_a,9,843.046039365232,1440.0,0.5854486384480778,1440,45,45,268.15826800465584,459.0,0.5842228061103613,459,15,153,306,0.8146225810585672,true,9,0.5842228061103613,false,true,0.5842228061103613,0,2,false,false,false,
stage_a,10,828.1334474086761,1440.0,0.5750926718115806,1440,45,45,267.6836609914899,459.0,0.5831888039030281,459,15,153,306,0.8216284335084797,true,10,0.5831888039030281,false,false,0.5842228061103613,1,2,false,true,true,
